Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Shanie Mae S,Aug 2023,5.0 of 5 bubbles,Awesome Experience ✨,we have awesome experience here at Marble  Grain Steak House..Shout out to  Miss Leodilyn for being so accommodating and friendly and for suggesting salmon which we found the best👌highly recommended. and also to sir dwayne for attending our requests.,August 2023,NA
Joecel J,Aug 2023,5.0 of 5 bubbles,Great food,Dined in at Marble and Grain. Delicious food and great ambiance. Their pasta and salmon are superb. Great staffs esp to Ms. Leodilyn and Sir Dwayne! Definitely going to dine here again. Thank you....,August 2023,NA
Jeongwon L,Aug 2023,5.0 of 5 bubbles,Very nice experience at Cebu Bai hotel,"Dear Ms Marjurie. It’s so kindly service as well as convenience room condition. Also, nice Korean speaking fluently. When we came back in 2 days, she knew us so very appreciate it.  We wanna back to visit again.",August 2023,NA
Sharra Mae A,Aug 2023,5.0 of 5 bubbles,Amazing and Fun!,"Very accomodating! Ma’am Jacqueline, Grace, Quin, Sir Mark, Jude, Winston, Kent and Jason. Nice experience while having the workshop, it was comfortable and very vibey. Please continue doing your work very well.",August 2023,NA
Cybele B,Aug 2023,5.0 of 5 bubbles,Bai Hotel -Cebu,"We had an exceptional experience during my recent staycation at the Bai Hotel, largely due to the outstanding service provided by Gian, the front desk assistant during our check-in. His warm and welcoming demeanor immediately put me at ease after a long journey. His attention to detail and efficiency ensured a seamless check-in process, and he went above and beyond to answer my questions and provide recommendations for local attractions. In addition, the professionalism and genuine friendliness of the staff  truly set the tone for a memorable stay at the hotel. I can confidently say that they have an excellent customer service and the overall quality of the Bai Hotel have left me with a highly positive impression and a desire to return in the future.",August 2023,NA
Naicy I,Aug 2023,5.0 of 5 bubbles,Dine IN with fam,Food was great! Staff were doing a great job! Geo is attending all our needs 100% . Very satisfied with the food and service they provided us. Will come back again soon. Highly recommended if you're visiting cebu.,August 2023,NA
Erwin,Aug 2023,5.0 of 5 bubbles,Indeed a Happy Birthday,"Food, Ambiance. service is great. Irish was accommodating.Promos are great and will be looking forward to dine again with colleagues, friends, and family.Choices are plenty and of great quality. Happy to be here and would recommend Bai to anyone.Read more",August 2023,NA
ARLEIN S,Aug 2023,5.0 of 5 bubbles,Buffet experience,Favorite buffet in cebu❤️ wide variety of food to choose from.Been here couple of times already for family and work gatherings.Staff so accommodating especially Irish.Will definitely recommend!!🥰Read more,August 2023,NA
Gerald Y,Aug 2023,5.0 of 5 bubbles,Great date night at Marble+Grain,"Excellent service provided by Bibiano. He made us feel special on our special date. He knows his craft well and made a really good wine suggestion to pair with our steak. Above all, the food is great.",August 2023,NA
Vence Michael M,Aug 2023,5.0 of 5 bubbles,Excellent,"We stayed for a family staycation and was very welcomed by your lovely staffs. From luggage assistance by Andrei and Arniel ( or sounds like ) who did not hesitate to bring our luggages to our room. Front desk Venus assisted us during confirmation of our booking and she provided more options for a better stay, thats brilliant. During check in Mary was very accommodating who let us in so we could relax a bit. Really appreciated her! Up in the pool , Ariel assisted us very well. Fun to talk to and gives recommendations around the city. We had great stay in the hotel even just for a night before flying back to UK. Kudos to the team!! Thank you and see you again.",August 2023,NA
Joy F,Aug 2023,3.0 of 5 bubbles,Bai Hotel: The Good and The Bad,"The best thing about using Bai Hotel as a venue for official functions is the Banquet Service and Facilities, and Cafe Bai Service and Food. The front office and the rooms are a different story. They’ll need to improve the tangibles and the service in order to merit thumbs up. The Banquet Facilities are good. Spacious and cool. Well set-up. With great technical support from engineering (special mention Marlon - he is technically competent, pleasant, prompt). Banquet Service is excellent. The service team is punctual, courteous, pleasant, personable and responsive. Special mention must be made of Quin, Edmar and Clark. They anticipate what you need, they are fast. They give Bai a very good name. They MUST be recognized and commended internally!Cafe Bai food is hands down the BEST! The quality is great! The variety is great! And most of all, the FB staff do their job Very Well! Maricel Newman leads them very well! She is experienced and sets a very good example. The rest of her team is equally as good! Rowel, Rachel, Lenie - they all have smiling welcome expressions consistently, they serve very well. Like the banquet staff, they are swift, responsive and they anticipate and think of what you need even before you ask. They MUST be recognized and commended internally as well!The front office and the rooms division - they have a lot of work to do to catch up. The front office (next to the guards and bellman) is the first encounter you have with the hotel. And unfortunately, they’re not consistently good. Sometimes you meet someone who’s competent and who knows his/her job, most of the time you are handled by personnel who give the vibe of being unsure. They’re not sharp nor fast. You’ll need to wait your turn most of the time. Their turnaround time could be faster. As for the rooms? Very inconsistent. You get rooms that are ok. They give you welcome pastries or drinks, you are welcomed with your name on the screen and in cards addressed to you personally, you have complete amenities and everything works. But at other times (this last trip was one for the books!), you get a really bad experience: no more welcome pastries (they call the next day and say sorry they forgot) AND the TV doesn’t work (housekeeping looks at it, is helpless, so calls IT and IT fixes it - supposedly! - and assures you it’s ok, and then it bogs down again). They transfer you to another room (because you repeatedly complain) - but in that next room, you face a TV that works tbf (but it uses “Greek” and hieroglyphics for you to understand how it works - it’s customer unfriendly! - they acknowledge and explain that they upgraded the TV but still use the old remote so it’s hard to use). The new room you’re transferred to does not have hot water (faucet on the sink) and is dirty (the housekeeping did not see the dirt (a used plastic they must have overlooked below the mirror near the sink). The door jamb is also stuck all the time. The pillows are not as soft. Sigh. The duty manager comes to you and apologizes profusely and does what he can to pacify you. The question is: why put yourself in a position where an apology is needed? If the front office and rooms division can look into their tangibles and can do their job as well as FB does, they’ll definitely merit two thumbs up and more.Read more",August 2023,NA
Getaway62418665084,Aug 2023,5.0 of 5 bubbles,great value for money,"This hotel brings an awesome experinece .They offer great service staff, the food was great also and everyone was very accomodating.We will surely stay again here in our cebu visit . Great hotel also",August 2023,NA
Ingrid Gay P,Aug 2023,5.0 of 5 bubbles,Exceptional Stay,Check in process was smooth and Venus the receptionist was very accommodating. She upgraded our room to suite for free..The suite room was so nice and had indeed a relaxing stay.The food was great. Bai Hotel is our go to place for buffet.Read more,August 2023,NA
Steven P,Aug 2023,5.0 of 5 bubbles,Vacation in the Cebu,"Superb service by Nerilyn and others. From the greeting in the morning, showing us to our table and assisting is with beverage. The team are so professional, courteous and attentive that detail. Made out stay feel amazing. The dining area was so clean and well presented. Food was excellent.",August 2023,NA
Naicy I,Aug 2023,5.0 of 5 bubbles,Dine IN with fam,Food was great! Staff were doing a great job! Geo is attending all our needs 100% . Very satisfied with the food and service they provided us. Will come back again soon. Highly recommended if you're visiting cebu.,August 2023,NA
Erwin,Aug 2023,5.0 of 5 bubbles,Indeed a Happy Birthday,"Food, Ambiance. service is great. Irish was accommodating.Promos are great and will be looking forward to dine again with colleagues, friends, and family.Choices are plenty and of great quality. Happy to be here and would recommend Bai to anyone.Read more",August 2023,NA
ARLEIN S,Aug 2023,5.0 of 5 bubbles,Buffet experience,Favorite buffet in cebu❤️ wide variety of food to choose from.Been here couple of times already for family and work gatherings.Staff so accommodating especially Irish.Will definitely recommend!!🥰Read more,August 2023,NA
Gerald Y,Aug 2023,5.0 of 5 bubbles,Great date night at Marble+Grain,"Excellent service provided by Bibiano. He made us feel special on our special date. He knows his craft well and made a really good wine suggestion to pair with our steak. Above all, the food is great.",August 2023,NA
Vence Michael M,Aug 2023,5.0 of 5 bubbles,Excellent,"We stayed for a family staycation and was very welcomed by your lovely staffs. From luggage assistance by Andrei and Arniel ( or sounds like ) who did not hesitate to bring our luggages to our room. Front desk Venus assisted us during confirmation of our booking and she provided more options for a better stay, thats brilliant. During check in Mary was very accommodating who let us in so we could relax a bit. Really appreciated her! Up in the pool , Ariel assisted us very well. Fun to talk to and gives recommendations around the city. We had great stay in the hotel even just for a night before flying back to UK. Kudos to the team!! Thank you and see you again.",August 2023,NA
Joy F,Aug 2023,3.0 of 5 bubbles,Bai Hotel: The Good and The Bad,"The best thing about using Bai Hotel as a venue for official functions is the Banquet Service and Facilities, and Cafe Bai Service and Food. The front office and the rooms are a different story. They’ll need to improve the tangibles and the service in order to merit thumbs up. The Banquet Facilities are good. Spacious and cool. Well set-up. With great technical support from engineering (special mention Marlon - he is technically competent, pleasant, prompt). Banquet Service is excellent. The service team is punctual, courteous, pleasant, personable and responsive. Special mention must be made of Quin, Edmar and Clark. They anticipate what you need, they are fast. They give Bai a very good name. They MUST be recognized and commended internally!Cafe Bai food is hands down the BEST! The quality is great! The variety is great! And most of all, the FB staff do their job Very Well! Maricel Newman leads them very well! She is experienced and sets a very good example. The rest of her team is equally as good! Rowel, Rachel, Lenie - they all have smiling welcome expressions consistently, they serve very well. Like the banquet staff, they are swift, responsive and they anticipate and think of what you need even before you ask. They MUST be recognized and commended internally as well!The front office and the rooms division - they have a lot of work to do to catch up. The front office (next to the guards and bellman) is the first encounter you have with the hotel. And unfortunately, they’re not consistently good. Sometimes you meet someone who’s competent and who knows his/her job, most of the time you are handled by personnel who give the vibe of being unsure. They’re not sharp nor fast. You’ll need to wait your turn most of the time. Their turnaround time could be faster. As for the rooms? Very inconsistent. You get rooms that are ok. They give you welcome pastries or drinks, you are welcomed with your name on the screen and in cards addressed to you personally, you have complete amenities and everything works. But at other times (this last trip was one for the books!), you get a really bad experience: no more welcome pastries (they call the next day and say sorry they forgot) AND the TV doesn’t work (housekeeping looks at it, is helpless, so calls IT and IT fixes it - supposedly! - and assures you it’s ok, and then it bogs down again). They transfer you to another room (because you repeatedly complain) - but in that next room, you face a TV that works tbf (but it uses “Greek” and hieroglyphics for you to understand how it works - it’s customer unfriendly! - they acknowledge and explain that they upgraded the TV but still use the old remote so it’s hard to use). The new room you’re transferred to does not have hot water (faucet on the sink) and is dirty (the housekeeping did not see the dirt (a used plastic they must have overlooked below the mirror near the sink). The door jamb is also stuck all the time. The pillows are not as soft. Sigh. The duty manager comes to you and apologizes profusely and does what he can to pacify you. The question is: why put yourself in a position where an apology is needed? If the front office and rooms division can look into their tangibles and can do their job as well as FB does, they’ll definitely merit two thumbs up and more.Read more",August 2023,NA
Getaway62418665084,Aug 2023,5.0 of 5 bubbles,great value for money,"This hotel brings an awesome experinece .They offer great service staff, the food was great also and everyone was very accomodating.We will surely stay again here in our cebu visit . Great hotel also",August 2023,NA
Ingrid Gay P,Aug 2023,5.0 of 5 bubbles,Exceptional Stay,Check in process was smooth and Venus the receptionist was very accommodating. She upgraded our room to suite for free..The suite room was so nice and had indeed a relaxing stay.The food was great. Bai Hotel is our go to place for buffet.Read more,August 2023,NA
Steven P,Aug 2023,5.0 of 5 bubbles,Vacation in the Cebu,"Superb service by Nerilyn and others. From the greeting in the morning, showing us to our table and assisting is with beverage. The team are so professional, courteous and attentive that detail. Made out stay feel amazing. The dining area was so clean and well presented. Food was excellent.",August 2023,NA
Rick Anthony A,Jul 2023,5.0 of 5 bubbles,One of the best,"The bed is really well done, soft and comfortable. The view is nice and the amenities are instagramable. The staffs are really accommodating and kind. I would definitely come back and recommend Bai Hotel to my friends and family.",July 2023,NA
Martin K,Jul 2023,2.0 of 5 bubbles,Bad 5-star experience. Avoid this hotel.,"Checking in took 45 minutes! Pool bar on top level messed up billings. Buffet restaurant was messy and difficult to navigate and to find food. Good selection, but poorly replenished. Billing experience terrible. No Aircon in public areas (reception and hallways). Room charge not available or not asked for during check in. Late check out to 3 PM offered due to slow check-in process, but key cards not valid more than to 12 noon meaning queueing up during checkout time to extend the keycards. All in all a terrible 5-star experience. Will NOT recommend to spend money there. Nice staff crippled by stupid regulations.",July 2023,NA
SuperM227,Jul 2023,5.0 of 5 bubbles,"Our 2nd home, in the South","Highlight of our stay is the warmth and friendliness of the staff truly made me feel like I was among family. Kudos and Special attention to Ms Aileen , Ms Suzette and sales team, we appreciated the attention they extended to ensuring the comfort and the convenience of our stay.. the cozy room and comfy bed and of course the beautiful city view.. They went above and beyond to make sure our needs were met and that had everything we required for a memorable stay. Their dedication to hospitality was indeed their brand - the Cebuano warmth that touched our hearts!",July 2023,NA
Kristian H,Jul 2023,5.0 of 5 bubbles,Marble + Grain Steak. Excellent food and very nice staff!,We had our dinner at Marble + Grain Steak. The food was amazing! Would recommend the potato soup and the Prime Tenderloin Steak! The staff were very nice and engaging. Would highly recommend this place!,July 2023,NA
Reshelle R,Jul 2023,5.0 of 5 bubbles,Kudos bai,"Thank you bai for the great experience ,, from front desk to poolbar, the cocktail so great, the room is great , clean and nice, the staff is so friendly and accommodating, also thank you for housekeeping staff, jharid and jhon luis for clean my room , that they give me everything I need specially amenities.. kudos bai.",July 2023,NA
Ann K,Jul 2023,1.0 of 5 bubbles,Expectation VS. Reality,"bell man  is too slow with it comes to assistance unlike other hotel. Checking in takes too long for an off peak / late check in. They prioritized to Marites in front of the guests .“, room were great but the breakfast buffet isn’t!! It’s a mess! I don’t recommend this hotel in Cebu!",July 2023,NA
hectort89,Jul 2023,5.0 of 5 bubbles,"Excellent hotel, and outstanding customer service from Venus (front desk)","Well furnished hotel, great location and facilities, clean, and outstanding customer service from Venus (front desk). She was very professional, and proactively helped to my reservation changes. Highly recommend to stay at Bai Hotel Cebu!",June 2023,NA
Rick Anthony A,Jul 2023,5.0 of 5 bubbles,One of the best,"The bed is really well done, soft and comfortable. The view is nice and the amenities are instagramable. The staffs are really accommodating and kind. I would definitely come back and recommend Bai Hotel to my friends and family.",July 2023,NA
Martin K,Jul 2023,2.0 of 5 bubbles,Bad 5-star experience. Avoid this hotel.,"Checking in took 45 minutes! Pool bar on top level messed up billings. Buffet restaurant was messy and difficult to navigate and to find food. Good selection, but poorly replenished. Billing experience terrible. No Aircon in public areas (reception and hallways). Room charge not available or not asked for during check in. Late check out to 3 PM offered due to slow check-in process, but key cards not valid more than to 12 noon meaning queueing up during checkout time to extend the keycards. All in all a terrible 5-star experience. Will NOT recommend to spend money there. Nice staff crippled by stupid regulations.",July 2023,NA
SuperM227,Jul 2023,5.0 of 5 bubbles,"Our 2nd home, in the South","Highlight of our stay is the warmth and friendliness of the staff truly made me feel like I was among family. Kudos and Special attention to Ms Aileen , Ms Suzette and sales team, we appreciated the attention they extended to ensuring the comfort and the convenience of our stay.. the cozy room and comfy bed and of course the beautiful city view.. They went above and beyond to make sure our needs were met and that had everything we required for a memorable stay. Their dedication to hospitality was indeed their brand - the Cebuano warmth that touched our hearts!",July 2023,NA
Kristian H,Jul 2023,5.0 of 5 bubbles,Marble + Grain Steak. Excellent food and very nice staff!,We had our dinner at Marble + Grain Steak. The food was amazing! Would recommend the potato soup and the Prime Tenderloin Steak! The staff were very nice and engaging. Would highly recommend this place!,July 2023,NA
Reshelle R,Jul 2023,5.0 of 5 bubbles,Kudos bai,"Thank you bai for the great experience ,, from front desk to poolbar, the cocktail so great, the room is great , clean and nice, the staff is so friendly and accommodating, also thank you for housekeeping staff, jharid and jhon luis for clean my room , that they give me everything I need specially amenities.. kudos bai.",July 2023,NA
Ann K,Jul 2023,1.0 of 5 bubbles,Expectation VS. Reality,"bell man  is too slow with it comes to assistance unlike other hotel. Checking in takes too long for an off peak / late check in. They prioritized to Marites in front of the guests .“, room were great but the breakfast buffet isn’t!! It’s a mess! I don’t recommend this hotel in Cebu!",July 2023,NA
hectort89,Jul 2023,5.0 of 5 bubbles,"Excellent hotel, and outstanding customer service from Venus (front desk)","Well furnished hotel, great location and facilities, clean, and outstanding customer service from Venus (front desk). She was very professional, and proactively helped to my reservation changes. Highly recommend to stay at Bai Hotel Cebu!",June 2023,NA
Rick Anthony A,Jul 2023,5.0 of 5 bubbles,One of the best,"The bed is really well done, soft and comfortable. The view is nice and the amenities are instagramable. The staffs are really accommodating and kind. I would definitely come back and recommend Bai Hotel to my friends and family.",July 2023,NA
Martin K,Jul 2023,2.0 of 5 bubbles,Bad 5-star experience. Avoid this hotel.,"Checking in took 45 minutes! Pool bar on top level messed up billings. Buffet restaurant was messy and difficult to navigate and to find food. Good selection, but poorly replenished. Billing experience terrible. No Aircon in public areas (reception and hallways). Room charge not available or not asked for during check in. Late check out to 3 PM offered due to slow check-in process, but key cards not valid more than to 12 noon meaning queueing up during checkout time to extend the keycards. All in all a terrible 5-star experience. Will NOT recommend to spend money there. Nice staff crippled by stupid regulations.",July 2023,NA
SuperM227,Jul 2023,5.0 of 5 bubbles,"Our 2nd home, in the South","Highlight of our stay is the warmth and friendliness of the staff truly made me feel like I was among family. Kudos and Special attention to Ms Aileen , Ms Suzette and sales team, we appreciated the attention they extended to ensuring the comfort and the convenience of our stay.. the cozy room and comfy bed and of course the beautiful city view.. They went above and beyond to make sure our needs were met and that had everything we required for a memorable stay. Their dedication to hospitality was indeed their brand - the Cebuano warmth that touched our hearts!",July 2023,NA
Kristian H,Jul 2023,5.0 of 5 bubbles,Marble + Grain Steak. Excellent food and very nice staff!,We had our dinner at Marble + Grain Steak. The food was amazing! Would recommend the potato soup and the Prime Tenderloin Steak! The staff were very nice and engaging. Would highly recommend this place!,July 2023,NA
Reshelle R,Jul 2023,5.0 of 5 bubbles,Kudos bai,"Thank you bai for the great experience ,, from front desk to poolbar, the cocktail so great, the room is great , clean and nice, the staff is so friendly and accommodating, also thank you for housekeeping staff, jharid and jhon luis for clean my room , that they give me everything I need specially amenities.. kudos bai.",July 2023,NA
Ann K,Jul 2023,1.0 of 5 bubbles,Expectation VS. Reality,"bell man  is too slow with it comes to assistance unlike other hotel. Checking in takes too long for an off peak / late check in. They prioritized to Marites in front of the guests .“, room were great but the breakfast buffet isn’t!! It’s a mess! I don’t recommend this hotel in Cebu!",July 2023,NA
hectort89,Jul 2023,5.0 of 5 bubbles,"Excellent hotel, and outstanding customer service from Venus (front desk)","Well furnished hotel, great location and facilities, clean, and outstanding customer service from Venus (front desk). She was very professional, and proactively helped to my reservation changes. Highly recommend to stay at Bai Hotel Cebu!",June 2023,NA
Rick Anthony A,Jul 2023,5.0 of 5 bubbles,One of the best,"The bed is really well done, soft and comfortable. The view is nice and the amenities are instagramable. The staffs are really accommodating and kind. I would definitely come back and recommend Bai Hotel to my friends and family.",July 2023,NA
Martin K,Jul 2023,2.0 of 5 bubbles,Bad 5-star experience. Avoid this hotel.,"Checking in took 45 minutes! Pool bar on top level messed up billings. Buffet restaurant was messy and difficult to navigate and to find food. Good selection, but poorly replenished. Billing experience terrible. No Aircon in public areas (reception and hallways). Room charge not available or not asked for during check in. Late check out to 3 PM offered due to slow check-in process, but key cards not valid more than to 12 noon meaning queueing up during checkout time to extend the keycards. All in all a terrible 5-star experience. Will NOT recommend to spend money there. Nice staff crippled by stupid regulations.",July 2023,NA
SuperM227,Jul 2023,5.0 of 5 bubbles,"Our 2nd home, in the South","Highlight of our stay is the warmth and friendliness of the staff truly made me feel like I was among family. Kudos and Special attention to Ms Aileen , Ms Suzette and sales team, we appreciated the attention they extended to ensuring the comfort and the convenience of our stay.. the cozy room and comfy bed and of course the beautiful city view.. They went above and beyond to make sure our needs were met and that had everything we required for a memorable stay. Their dedication to hospitality was indeed their brand - the Cebuano warmth that touched our hearts!",July 2023,NA
Kristian H,Jul 2023,5.0 of 5 bubbles,Marble + Grain Steak. Excellent food and very nice staff!,We had our dinner at Marble + Grain Steak. The food was amazing! Would recommend the potato soup and the Prime Tenderloin Steak! The staff were very nice and engaging. Would highly recommend this place!,July 2023,NA
Reshelle R,Jul 2023,5.0 of 5 bubbles,Kudos bai,"Thank you bai for the great experience ,, from front desk to poolbar, the cocktail so great, the room is great , clean and nice, the staff is so friendly and accommodating, also thank you for housekeeping staff, jharid and jhon luis for clean my room , that they give me everything I need specially amenities.. kudos bai.",July 2023,NA
Ann K,Jul 2023,1.0 of 5 bubbles,Expectation VS. Reality,"bell man  is too slow with it comes to assistance unlike other hotel. Checking in takes too long for an off peak / late check in. They prioritized to Marites in front of the guests .“, room were great but the breakfast buffet isn’t!! It’s a mess! I don’t recommend this hotel in Cebu!",July 2023,NA
hectort89,Jul 2023,5.0 of 5 bubbles,"Excellent hotel, and outstanding customer service from Venus (front desk)","Well furnished hotel, great location and facilities, clean, and outstanding customer service from Venus (front desk). She was very professional, and proactively helped to my reservation changes. Highly recommend to stay at Bai Hotel Cebu!",June 2023,NA
Rick Anthony A,Jul 2023,5.0 of 5 bubbles,One of the best,"The bed is really well done, soft and comfortable. The view is nice and the amenities are instagramable. The staffs are really accommodating and kind. I would definitely come back and recommend Bai Hotel to my friends and family.",July 2023,NA
Martin K,Jul 2023,2.0 of 5 bubbles,Bad 5-star experience. Avoid this hotel.,"Checking in took 45 minutes! Pool bar on top level messed up billings. Buffet restaurant was messy and difficult to navigate and to find food. Good selection, but poorly replenished. Billing experience terrible. No Aircon in public areas (reception and hallways). Room charge not available or not asked for during check in. Late check out to 3 PM offered due to slow check-in process, but key cards not valid more than to 12 noon meaning queueing up during checkout time to extend the keycards. All in all a terrible 5-star experience. Will NOT recommend to spend money there. Nice staff crippled by stupid regulations.",July 2023,NA
SuperM227,Jul 2023,5.0 of 5 bubbles,"Our 2nd home, in the South","Highlight of our stay is the warmth and friendliness of the staff truly made me feel like I was among family. Kudos and Special attention to Ms Aileen , Ms Suzette and sales team, we appreciated the attention they extended to ensuring the comfort and the convenience of our stay.. the cozy room and comfy bed and of course the beautiful city view.. They went above and beyond to make sure our needs were met and that had everything we required for a memorable stay. Their dedication to hospitality was indeed their brand - the Cebuano warmth that touched our hearts!",July 2023,NA
Kristian H,Jul 2023,5.0 of 5 bubbles,Marble + Grain Steak. Excellent food and very nice staff!,We had our dinner at Marble + Grain Steak. The food was amazing! Would recommend the potato soup and the Prime Tenderloin Steak! The staff were very nice and engaging. Would highly recommend this place!,July 2023,NA
Reshelle R,Jul 2023,5.0 of 5 bubbles,Kudos bai,"Thank you bai for the great experience ,, from front desk to poolbar, the cocktail so great, the room is great , clean and nice, the staff is so friendly and accommodating, also thank you for housekeeping staff, jharid and jhon luis for clean my room , that they give me everything I need specially amenities.. kudos bai.",July 2023,NA
Ann K,Jul 2023,1.0 of 5 bubbles,Expectation VS. Reality,"bell man  is too slow with it comes to assistance unlike other hotel. Checking in takes too long for an off peak / late check in. They prioritized to Marites in front of the guests .“, room were great but the breakfast buffet isn’t!! It’s a mess! I don’t recommend this hotel in Cebu!",July 2023,NA
hectort89,Jul 2023,5.0 of 5 bubbles,"Excellent hotel, and outstanding customer service from Venus (front desk)","Well furnished hotel, great location and facilities, clean, and outstanding customer service from Venus (front desk). She was very professional, and proactively helped to my reservation changes. Highly recommend to stay at Bai Hotel Cebu!",June 2023,NA
Rick Anthony A,Jul 2023,5.0 of 5 bubbles,One of the best,"The bed is really well done, soft and comfortable. The view is nice and the amenities are instagramable. The staffs are really accommodating and kind. I would definitely come back and recommend Bai Hotel to my friends and family.",July 2023,NA
Martin K,Jul 2023,2.0 of 5 bubbles,Bad 5-star experience. Avoid this hotel.,"Checking in took 45 minutes! Pool bar on top level messed up billings. Buffet restaurant was messy and difficult to navigate and to find food. Good selection, but poorly replenished. Billing experience terrible. No Aircon in public areas (reception and hallways). Room charge not available or not asked for during check in. Late check out to 3 PM offered due to slow check-in process, but key cards not valid more than to 12 noon meaning queueing up during checkout time to extend the keycards. All in all a terrible 5-star experience. Will NOT recommend to spend money there. Nice staff crippled by stupid regulations.",July 2023,NA
SuperM227,Jul 2023,5.0 of 5 bubbles,"Our 2nd home, in the South","Highlight of our stay is the warmth and friendliness of the staff truly made me feel like I was among family. Kudos and Special attention to Ms Aileen , Ms Suzette and sales team, we appreciated the attention they extended to ensuring the comfort and the convenience of our stay.. the cozy room and comfy bed and of course the beautiful city view.. They went above and beyond to make sure our needs were met and that had everything we required for a memorable stay. Their dedication to hospitality was indeed their brand - the Cebuano warmth that touched our hearts!",July 2023,NA
Kristian H,Jul 2023,5.0 of 5 bubbles,Marble + Grain Steak. Excellent food and very nice staff!,We had our dinner at Marble + Grain Steak. The food was amazing! Would recommend the potato soup and the Prime Tenderloin Steak! The staff were very nice and engaging. Would highly recommend this place!,July 2023,NA
Reshelle R,Jul 2023,5.0 of 5 bubbles,Kudos bai,"Thank you bai for the great experience ,, from front desk to poolbar, the cocktail so great, the room is great , clean and nice, the staff is so friendly and accommodating, also thank you for housekeeping staff, jharid and jhon luis for clean my room , that they give me everything I need specially amenities.. kudos bai.",July 2023,NA
Ann K,Jul 2023,1.0 of 5 bubbles,Expectation VS. Reality,"bell man  is too slow with it comes to assistance unlike other hotel. Checking in takes too long for an off peak / late check in. They prioritized to Marites in front of the guests .“, room were great but the breakfast buffet isn’t!! It’s a mess! I don’t recommend this hotel in Cebu!",July 2023,NA
hectort89,Jul 2023,5.0 of 5 bubbles,"Excellent hotel, and outstanding customer service from Venus (front desk)","Well furnished hotel, great location and facilities, clean, and outstanding customer service from Venus (front desk). She was very professional, and proactively helped to my reservation changes. Highly recommend to stay at Bai Hotel Cebu!",June 2023,NA
Rick Anthony A,Jul 2023,5.0 of 5 bubbles,One of the best,"The bed is really well done, soft and comfortable. The view is nice and the amenities are instagramable. The staffs are really accommodating and kind. I would definitely come back and recommend Bai Hotel to my friends and family.",July 2023,NA
Martin K,Jul 2023,2.0 of 5 bubbles,Bad 5-star experience. Avoid this hotel.,"Checking in took 45 minutes! Pool bar on top level messed up billings. Buffet restaurant was messy and difficult to navigate and to find food. Good selection, but poorly replenished. Billing experience terrible. No Aircon in public areas (reception and hallways). Room charge not available or not asked for during check in. Late check out to 3 PM offered due to slow check-in process, but key cards not valid more than to 12 noon meaning queueing up during checkout time to extend the keycards. All in all a terrible 5-star experience. Will NOT recommend to spend money there. Nice staff crippled by stupid regulations.",July 2023,NA
SuperM227,Jul 2023,5.0 of 5 bubbles,"Our 2nd home, in the South","Highlight of our stay is the warmth and friendliness of the staff truly made me feel like I was among family. Kudos and Special attention to Ms Aileen , Ms Suzette and sales team, we appreciated the attention they extended to ensuring the comfort and the convenience of our stay.. the cozy room and comfy bed and of course the beautiful city view.. They went above and beyond to make sure our needs were met and that had everything we required for a memorable stay. Their dedication to hospitality was indeed their brand - the Cebuano warmth that touched our hearts!",July 2023,NA
Kristian H,Jul 2023,5.0 of 5 bubbles,Marble + Grain Steak. Excellent food and very nice staff!,We had our dinner at Marble + Grain Steak. The food was amazing! Would recommend the potato soup and the Prime Tenderloin Steak! The staff were very nice and engaging. Would highly recommend this place!,July 2023,NA
Reshelle R,Jul 2023,5.0 of 5 bubbles,Kudos bai,"Thank you bai for the great experience ,, from front desk to poolbar, the cocktail so great, the room is great , clean and nice, the staff is so friendly and accommodating, also thank you for housekeeping staff, jharid and jhon luis for clean my room , that they give me everything I need specially amenities.. kudos bai.",July 2023,NA
Ann K,Jul 2023,1.0 of 5 bubbles,Expectation VS. Reality,"bell man  is too slow with it comes to assistance unlike other hotel. Checking in takes too long for an off peak / late check in. They prioritized to Marites in front of the guests .“, room were great but the breakfast buffet isn’t!! It’s a mess! I don’t recommend this hotel in Cebu!",July 2023,NA
hectort89,Jul 2023,5.0 of 5 bubbles,"Excellent hotel, and outstanding customer service from Venus (front desk)","Well furnished hotel, great location and facilities, clean, and outstanding customer service from Venus (front desk). She was very professional, and proactively helped to my reservation changes. Highly recommend to stay at Bai Hotel Cebu!",June 2023,NA
Resort344570,Jun 2023,5.0 of 5 bubbles,Great Hotel with Friendly Staff! 😍,"Super nice hotel!. Me and my friends would surely choose it again next time we visit Bai Hotel. Great location, great service, with friendly staff in Lobby Lounge especially Charo, she's pretty, very accommodating and considerate. Good value for the money. Breakfast in Cafe Bai was delicious also. Very comfortable rooms. I would definitely recommend. Thank you!",June 2023,NA
