Rating,Review Text,SA,Sentiment
5,hotel consistently provide enjoyable satisfying safe place business recreational purpose lodging whenever cebu city secure easy access parking excellent wifi everywhere clean spacious rooms immaculate bathrooms good air climatization shopping entertainment right next door well cared swimming pool facility hot afternoons breakfast dinner satisfy traveler anywhere professional knowledgeable staff caretaker managers ive quiet hotels around quiet countries places wf one favorite one could really improve even boss thats feeling,0.9897,Positive
5,great customer service experience waterfront always special mention uno cafe service attendants remember face time tell welcome back mam think great quality possess also would like thank camille room service attendant found passionate job,0.9694,Positive
2,even hotel stay 800 pesos wifi connectedyou also watch youtubewaterfront cebu city hotel anything wifi weaki need tv seriously please fix wifiread,0.1531,Positive
3,expecting slippers could walk around hotel apparently none upon checkout surprised find regular bottled water drank refrigerator charges even labeled waterfront thought free drank evia know,0.1366,Positive
4,place strategic location business leisure every walks life accommodated hotel resort experienced worryfree stay hotel recommended people near business district area also restaurants,0.2023,Positive
4,best hotel gym pool great club room benefits nice check fast eat nice breakfast peace get canteen feelings main restaurant struggle guests see rush hour worth extra cost type room want real vacation however cant compare club room bai hotel get benefits high tea afternoon service like mandarin oriental bangkok fresh orange juice hotels nice staff dinner buffet could offer many dishes like crispy pata son loves,0.9875,Positive
5,visited stayed times staff friendly helpful arrived time events volume guests hotel given free upgrade disappointing however shops foyer gone including duty free liquor store although told mactan airport casino always busy open 24 hours variety gambling opportunities close ayala mall 60 peso taxi ride,0.9001,Positive
4,last stay wayerfront cebu amazing fantastic various food playable swimming poor even femrench fry beer outside hotel however bad things spend time front elevator limited facilities hopely new one going soon thanks,0.4215,Positive
3,enjoyed stay mainly due excellent personalized service hotel staff housekeeping team depended respond promptly guests requests love pool rest facilities though including rooms need facelift already look tired,0.8519,Positive
3,many details room well maintainedfaucets rusty shower curtain functional carpets rooms function rooms already worn proper high class hotel outside attractive food also average quality,0.4215,Positive
5,awesome awesome im gonna go back soon ever chance kind efficient staff clean rooms succulent foodwhat one ask stay truly excellent awesome,0.9831,Positive
1,cousin graduation today held hotel worst experience ever ac working parents given chairs forcing stand whole activity worst part mother senior citizen person disability sat stairs chair told sit without even offering option sit horrible horrible worst service ever,-0.9652,Negative
5,convenient much improved hotel located conveniently philippines central city cebu facilities lobby lounge restaurants pool first rate rooms comfortable service excellent friendly security notably impressive,0.959,Positive
4,nice hotel clean rooms surroundings polite helpful staff good location excellent restaurants concert event venue however television cheap cable reception bad internet slow,0.886,Positive
5,first time checkin appreciate accommodations surely recommend anyone would like stay suggest hotel accommodate people getting taxis fast waiting area covered hot enough wait area,0.8625,Positive
3,impressive looking hotel lobby though sadly rooms dont mirror old tired looking noise level adjoining rooms importantly slamming room doors disappointing wakes early hours night morning otherwise great hotel,0.7356,Positive
3,bathroom could cleaner bath tub looks kinda old watermarks everywhere room clean everything need staff professional helpful location also really close ayala mall,0.7351,Positive
4,enjoyed stay hotel however noticed hotel quirks fixtures dated price hotel also install bidets bathroom think norm,0.5106,Positive
4,beautiful hotel great staff nice rooms unfortunately wifi bad need internet access prepare frustration smoke get used go cellar smoking spot outside garage entrance apart nice hotel,0.6808,Positive
5,got room 17th floor city view awesome staff polite helpful room service great lobby theres variety shops bars restaurants everything need outdoor swimming pool offer drinks promotions nice atmosphere ill ever return cebu ill definitely stay againread,0.9001,Positive
5,good value money good clean hotelfood uno really good stayed hotel times without problem also stayed one presidential suite best,0.9599,Positive
3,comfortable stay fixtures hotel need upgrade shower head bar held string various cracks tiles needs overhaul pool area dated old nights overlooked dumping ground back hotel piles toilet seats rubbish lifts dated needless contraptions buttons made look irrelevant sometimes lifts needed manual switches go right floor hotel needs major facelift also wifi terrible didnt improve lobby concierge bothered help beyond suggesting move around hotel find better signal walked away solutions even less internet potential fantastic hotel adequate stay overnight well looking elsewhere future,0.7688,Positive
2,experienced poor ventilation air conditioning room window view room overlooking dumping site hotel room furnishings seems old vintage room dark dark furnishings needs lighten room need upgrade bathroom,-0.6597,Negative
1,gave waterfront another chance find fallen deeper disrepair low water pressure broken furniture malingering elevator situation headed please repair sell chain make capex investment operate casino license cmon team,-0.6808,Negative
2,ive stayed several hotels 14year career involving regular travels far one tells room service order available 25 minutes 40 minutes later youre calling room service asking food told done 3 5 minutes 15 minutes second call found still waiting hotel least train staff set right expectations guests capabilities unable cope themour food finally arrived almost hour placing order breakfast turned brunch waste time,-0.4215,Negative
2,family checked holy week year expecting grand time cebu sightseeing top tourist destinations excellent hotel service away tour room entered another special guest assisted room attendant known better hotel management dragging feet investigation result within 2 weeks incident still waiting feedback u stay hotel need really lock door,0.9201,Positive
5,staff friendly attentive gym well equipped boxing ring personal training despite overall cleanliness room found lizard room crawling ceiling,0.6486,Positive
5,staff helpful polite great food great pool music hospitality first class great taxi service first class hotel greeted every day smile word morning afternoon good evening sir dont get england philippines shows respect thank,0.9803,Positive
4,prices good rooms still good room service good cleaning good laundry helpful expensive though cafe uno great break fast come free nice variety good food eggs great bread cheese good lobby little empty duty free shops closed nice cafe lobby nice staff helpful security bell boys hope improve keep competition good memories,0.9948,Positive
2,experience tb needs upgrading service time poor bit noisy room ongoing repairs request slippers took long time telephones also busy cant easily get front desk service,-0.7037,Negative
3,critically honest review hotel already disappointed even checked arrived hotel around 12 nn requested check early told right away reminded check time 200 pm course know check time made request early check would appreciated reception told try best accommodate request room available check us way even request really possible feel like tried best accommodate us avail rather told right away booked 9 nights stay paid good amount money way front desk talked us feel like valued guest hotel reception texted hour later inform us room already available check early happy already upset usually vacation cebu stay 2 different hotels time decided stay waterfront whole duration stay cebu regretted almost sure stay hotel ever,0.9742,Positive
3,disappointed stay regularly fourth time booked double bed arrive told single available wanted room 1220 sleep noise elevator night reception displayed disinterest complaint saying rooms available disturbing lack concern client,-0.872,Negative
2,talking many supervisors casino 4 days say people saving best slot machines people come casino also people putting 100 200 peso best machines playing 1 2 hours good complaining staff know pagcor regs machine played 15 20 min machine cleared staff disappointed service hotel staff wrote long letter gm response,0.9001,Positive
4,would recommend hotel going cebu business pleasure staff hospitable food great shows casino must seeyou spend least 34 days,0.8834,Positive
5,dont recall many times ive cebu due many wonderful memories queen city south even though overnight hotel really gave wonderful time life enjoyed eating two restaurants enjoyed buffet breakfast good swim swimming pool ended day warm bath tub spa room think ill go back opportune time,0.9565,Positive
4,nice clean rooms good location breakfast good buffet good great place stay close airport citythe casino impressed though small poor variety,0.9538,Positive
5,absolutely loved hotel lunch wonderful cocktails superb even though expensive places given type hotel location still cheap room service great pool gym great staff incredibly friendly courteous professional 2 minute shuttle airport overall really wonderful stay would go back,0.9861,Positive
5,waterfront hotel great place stay cebu city right moment enter lobby till check one pleasant memories nice cosy rooms great housekeeping wide spread options breakfast swimming pools casino make want stay back bit souvenir shops gym 3 major fancy restaurants along many smaller food joints major credit cards accepted including amex reception definitely worth stay cebu city,0.9719,Positive
4,food great fantastic staff nice place full story make stop look around resort really enjoy fine dinning experience friends super want great fine dinning go water front hotel,0.9806,Positive
5,excellent people front desk nice alsoat buffet good time staying therei absolutely recommend hotel friends family stay tomy next trip next year thank youread,0.9521,Positive
5,stayed since 2016 2 weeks year april 2019 3 weeks love stay waterfront hotel hope going renovate rooms soon outdatedwe back,0.7964,Positive
5,waterfrontlahug one best ambiance leisurely atmosphere southern philippines uno restaurant breakfast buffet offers largest diverse selections local international cuisine cebu,0.6369,Positive
5,id like commend hotel staff courteous helpful front desk staff efficient concierge helpful housekeeping staff quick attend requests ones restaurant makes feel important even though buffet would ask could assist serve getting seated choice food drinks truly appreciate kind service,0.9774,Positive
4,property sits strategically business travellers well guests going rr massive structure property provides posh feel guests without breaking budgets 24 hour gym facility also advantage restaurants sprawling right side property provide various options guests discerning international palates despite outdated rooms facilities hotel definitely top list whenever cebu,0.765,Positive
4,stayed waterfront hotel casino least twice year past 7 years enough recommendation last year staying waterfront issues pool im happy say waterfront taken action address issues tv served distraction pool staff removed pool area proper male change shower room last year large rock enhanced pool area dirty black urgent need pressure washer cleaning rock cleaned areas still remain black used pool time towels available although certainly busy guests towels became available leaving late us since last year beach towels never ran replaced small quantity bath towels always run rationale behind cant fathom might also add air con rooms good dont bother trying adjust temperature dial effect usually turn air con night sleeping gets cold everything else par plan stay waterfront later year,0.6293,Positive
4,unforgettable stay hotel facilities staff excellent people working hospitable approachable food great reason kids wanna stay day amazing staffs thank girls rest team also like foods buffet price affordable overall excellent stay,0.9652,Positive
4,overall pleasant stay staff accommodating person phone answers directory much breakfast buffet little bland taste much prefer versus overly seasoned food,0.5106,Positive
5,well staff facility elevator operators 24 7 great restaurants premises buffet awesome huge sushi breakfast thoughteverything really good great service usual philippinespool great warm 24 hour spa weight room big casino ill go back,0.9722,Positive
4,stayed 2 night small size casino check fast free shutter shopping mall maybe time change furniture getting wore provide airport shutter service great point,0.8126,Positive
4,adjusted 5th floor 12th floor hit twin bed small one person would like big bed future would like larger bed single bed,0.6124,Positive
5,returned philippines final night spent care waterfront standard personal service exceptional room quiet cool shower excellent every member staff courteous good humoured made whole experience deeply relaxing returning cebu june july im looking forward returning waterfront already,0.9638,Positive
4,location service cleanliness good would like go trip philippines casino also good experience good place go family seems good hotel business trip trip cebu city,0.9201,Positive
4,nice stay relaxing comfortable rooms accommodating staff food serve buffet lot choices satisfying burp elegant facilities fabulous ballroom event mtalents,0.9571,Positive
4,room bad except bathtub fixed shower headbed thing goodespecially pool clean guard best evening time duo sang song pool side peaceful,0.765,Positive
4,hotel good son really like great breakfast food delicious recommend hotel also friends relatives one think suggest parking area big accommodate lot vehicles,0.9605,Positive
5,double deluxe room stayed satisfactory view room excellent noticeable remarks sofa lobby sagging ones sat coffee little uncomfortable,0.6115,Positive
3,stayed 1 night handy trip bantayan island next dayon approach hotel looks grand impressive huge decorative hotel lobby stops looks deceivingthe room stayed old dirty needed complete refurb hallways smelt damp mothballsthe view dump industrial fan unit whirled monotonous drone nightthere plentiful supply eating establishments within complex italian la gondola excellent ambience treffwhich outdoor terrace barstaff establishments welcoming courteous places philippines visitedso bad good points place wouldnt stay againread,0.9217,Positive
5,experience waterfront hotel casino wonderful terms hospitality receptionist good way speak customer polite approachable elevator quick room wow clean good amenities wonderful fantastic security polite smiling face awesome overall 100 satisfy service waterfront hotel casino big credits management thank wonderful service us,0.992,Positive
4,excellent first time experience since hearing internet convenient renewing usa passport consulate office ground floor heart city exploring sights photography video drawback hotel airport shuttle service type hotel included service hotel provide additional expense service requested,0.5719,Positive
5,great service friendly ambience make lovely place stay rooms perfect bar restaurant great thought spa facilities really good reasonable price,0.9722,Positive
5,truly enjoyed stay waterfront definitely icon hotel cebu fit fantastic staff welcoming ambassador lounge 18th floor run mike exceptional team mate wilden true gentlemen always helpful would definitely recommend hotel food service point prices well italian restaurant absolutely wonderful worth trying,0.9872,Positive
4,great stay room comfortable even provided us extra pillows asked additional 2 kids us charge checked bit early accomodated right away convenient since lots shops restaurants accross street downside furniture little outdated still nice,0.8375,Positive
4,hotel great pool area perfect staff could faultedclose ayala mall food choices shopping waterfront hotel great value rooms need updating stay next time ceburead,0.936,Positive
4,good hotel friendly accommodating staff hospitable stay shocked doesnt bidet beside toilet inside room staffs testing fire alarm bothered sound alarm,-0.5719,Negative
4,first time go cebu experience fine dinninga good venue fine dining experience serve good quality food good quality service staff friendly accomodate us well establish beautiful,0.9612,Positive
5,waste cans full rooms clean attendant gives addtional toiletries tissues needs call hotline number shocked attendant needs signature sign using pool never saw entrance hotel gives guests welcome drink surprised,0.4215,Positive
4,convenient location heart cebu city accessible tourist sites restaurants market thumbs 24 7 operation hotels clinic food breakfast buffet sumptuously delicious,0.5719,Positive
3,stayed hotel 3 nights positives buffet restaurant still good become pricey hotel staff good accommodated request room change due noise coming elevator shaft also security reason negatives rooms starting show age electrical fixtures furnishings need upgradinguse room telephone calling room room room service charge horrendous price better use cell phones domestic sim card load scare first night someone tried open door room sleeping even though quite clear disturb sign placed door make sure double lock room given first night close elevator shaft hear elevator going night never found tried open door room sleeping reasons decided give 3 rating,0.8278,Positive
4,function pacific grand ballroom banquet team needs guidance training esp dealing people problems arise event food delectable friendly concierge,0.8126,Positive
4,everyone kind didnt wander even though first tripso wonderful experience good memorythe exterior interior facilities neat wellif go detail ill visit againread,0.8807,Positive
5,front desk disappointing know fault mgt add receptionist waited almost 1 hr served fainess accommodating special mention dave one served us overall stay hotel worth pricethank waterfront,-0.3182,Negative
5,wifi service really bad hope able improve experience exellent front desk staff could really feel warmth filipino service,0.6771,Positive
3,please provide hi speed wifi exhibition area philsutech arrangement vegetarian food indian style add facility many indian come rajeev mital director vikas pumps projects,0.3182,Positive
4,good location still philippines quality compare japan western countries fiddling mobile phone working etc advised many times yet changedthe quality sorted,0.4404,Positive
5,first time cebu ok traffic bad took 15 hours get airport hotel 8 miles hotel things changed clean great service casino fun good choice restaurants hotel used fitness center swimming pool good size plenty fun enjoyed hotel much cebu stay,0.9694,Positive
2,wifi service poor able connect get message offices singapore hong kong manila usa 3 days 2 nightsluckily client host cebu able share connection wifi,-0.2263,Negative
5,waterfront real 5 star hotel recommended business leisure stay staff attentive ready assist needs guest including minute trivial things like finding fresh chili pepper spike cravings person loves chilies food,0.8934,Positive
1,3 4 working enter press floor door closes floors disappear happens every floor stops caused guest completely miss floor room poorly lit bathroom feel clean water temperature uncontrollable carpet dirty,-0.7264,Negative
5,must impossible give hotel highest score hospitality personal professionell service always delivered smiles twinkles eyes various tasty food lobby different restaurants casino room location even trying find something could better finally found absolute top favorite hotel cebu city thank pleasant memorable stay next time certainly stay longer,0.9524,Positive
2,hotell decent terrible experience checkin ruined stay traveled 30 guests stayed waterfront arrived receptionist ment family two adults two kids 9 11 years old stay one double bed pay extra bed children even though specified booking trough agoda 45 min gave us extra bed children tired travels happy get room end got room hot water shower one kids burned self fix water damage done going back hotell flexibility common sens,-0.765,Negative
5,great hotel never disappoints wifi needs work little stronger breakfast buffet good could bit better decent carving station overall id say waterfront one better hotels cebu area though old still holds one better hotels value,0.9665,Positive
2,reservation superior room though agoda app asked king size bed aftet reservation wasnt answer didnt get king size bed uncomfortableyou done,0.5423,Positive
4,hotel looks elegant clean excellent service awesome location across park 5 mins away ayala mall staff extremely friendly definitely recommend hotel family friends,0.9775,Positive
5,great service friendly staff clean rooms delicious morning buffet 10 10 thing mild mens change rooms gym steam room bit stinky smelt like body odour also towels,0.9287,Positive
5,used hotel long time hotel usually use whenever go cebu feel like room getting old im little dissatisfied lot new hotels dealt facilities seem gradually less competitive,0.1531,Positive
