Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Martin Hansen,Jan 2024,1.0 of 5 bubbles,Traffic ,The traffic noise shakes the hotel and if you can stand it then there is more noise from the cleaning staff who are shouting loudly in Filipino.  morning food is very expensive here 800 per and not very good.  i would recommend bayfront hotel price with breakfast fast access to SM mail food street.  quest hotel has day access to their swimming pool/fitness for 600. if you need a swimming pool.,December 2023,NA
Gaz,Jan 2024,5.0 of 5 bubbles,Nice hotel in great location close to everything.,"This is the first time staying at Quest hotel and I was not disappointed, all the staff from housekeeping, dining room to the front desk are very polite and friendly, they will chat with you and get to know you and are great. The breakfast and dinner buffets always have a good selection of nice foods. Staff regularly inspect the food and always check on you to top up your coffee or water. I found the staff to be very well trained and diligent in their jobs. The wifi works well everywhere with good speed. I have stayed in a lot of hotels in the Philippines over the years and the quest is very good. and also it’s very close to Ayala mall which is great with every shop you could ever need. Would definitely be coming back again soon.",December 2023,NA
Patrick B,Jan 2024,5.0 of 5 bubbles,Life savers!!,"The staff was incredibly nice and really funny. Always a very authentic smile, the service was honestly better than some of the hotels I've been to in the U.S. I stayed in the premium suite, and in my opinion it's very worth the money. Great view of the sunrise and the city. And super close to the mall and some really great massage parlors in the area. And the Buffett they offer is incredible! Though I'd include that Into the cost of your room ahead of time if possible. By some unavoidable events, I lost my wallet and my phone was severely water damaged. However, in the same situation, by the grace of God, Maruy (I think I got her name right) was able to pull some strings so I could have enough money to cover my room and still get a cab to the airport. If not for her and the amazing staff in front, I would have been in an impossible situation. I'd easily go back to visit knowing I'd be in good hands, highly recommend to anyone looking for a second home while on vacation.",October 2023,NA
Oscar Bong L,Dec 2023,5.0 of 5 bubbles,excellent stay,"everything that i wish for a hotel .staff and breakfast are excellentwill come back definitely.location location.room facilities,air conditioning and internet as well as hot water are way above my expectationRead more",November 2023,NA
Lily choi,Dec 2023,5.0 of 5 bubbles,Perfect service,"Thanks to frontdesk staff(Lylia..? I’m sorry forgot the name RNM #1653)who helped our checkin, also karl another concierge who helped to get a taxi to mactan!It was tooo hard to get a taxi due to rush hour but two concierge steff never forgive to get a taxi for us! What a perfect serviceI’ll come back",December 2023,NA
Jo Anne V,Jan 2024,5.0 of 5 bubbles,Wonderful customer service!,"Amazing service and amazing food!!! Would like to commend their FB team for helping us during our company event, James, Emman, Kener, Winston, Nalos, Archie and of course, Sir Dave! Wonderful people!❤️👏",January 2024,NA
Daniel G,Jan 2024,5.0 of 5 bubbles,Reliable staff,The staff was very friendly and helpful. They responded to emails I sent ahead of my trip to coordinate pickup from the airport for my family of 5 and they were waiting for us when we got off the plane. They were also great coordinating the rest of the transportation I needed which was very useful because Cebu is not the easiest city to get around with small children. They also have a good buffet for 3 meals a day or you are walking distance to Ayala mall which had tons of food options.,January 2024,NA
Camper820383,Jan 2024,4.0 of 5 bubbles,Enjoyable experience ,"Really like the warm atmosphere in the hotel. The location is great if you enjoy downtown areas, and exploring the nightlife. The staff is very professional, helpful and friendly. My room was a bit dated but comfortable",January 2024,NA
Martin Hansen,Jan 2024,1.0 of 5 bubbles,Traffic ,The traffic noise shakes the hotel and if you can stand it then there is more noise from the cleaning staff who are shouting loudly in Filipino.  morning food is very expensive here 800 per and not very good.  i would recommend bayfront hotel price with breakfast fast access to SM mail food street.  quest hotel has day access to their swimming pool/fitness for 600. if you need a swimming pool.,December 2023,NA
Gaz,Jan 2024,5.0 of 5 bubbles,Nice hotel in great location close to everything.,"This is the first time staying at Quest hotel and I was not disappointed, all the staff from housekeeping, dining room to the front desk are very polite and friendly, they will chat with you and get to know you and are great. The breakfast and dinner buffets always have a good selection of nice foods. Staff regularly inspect the food and always check on you to top up your coffee or water. I found the staff to be very well trained and diligent in their jobs. The wifi works well everywhere with good speed. I have stayed in a lot of hotels in the Philippines over the years and the quest is very good. and also it’s very close to Ayala mall which is great with every shop you could ever need. Would definitely be coming back again soon.",December 2023,NA
Patrick B,Jan 2024,5.0 of 5 bubbles,Life savers!!,"The staff was incredibly nice and really funny. Always a very authentic smile, the service was honestly better than some of the hotels I've been to in the U.S. I stayed in the premium suite, and in my opinion it's very worth the money. Great view of the sunrise and the city. And super close to the mall and some really great massage parlors in the area. And the Buffett they offer is incredible! Though I'd include that Into the cost of your room ahead of time if possible. By some unavoidable events, I lost my wallet and my phone was severely water damaged. However, in the same situation, by the grace of God, Maruy (I think I got her name right) was able to pull some strings so I could have enough money to cover my room and still get a cab to the airport. If not for her and the amazing staff in front, I would have been in an impossible situation. I'd easily go back to visit knowing I'd be in good hands, highly recommend to anyone looking for a second home while on vacation.",October 2023,NA
Oscar Bong L,Dec 2023,5.0 of 5 bubbles,excellent stay,"everything that i wish for a hotel .staff and breakfast are excellentwill come back definitely.location location.room facilities,air conditioning and internet as well as hot water are way above my expectationRead more",November 2023,NA
Lily choi,Dec 2023,5.0 of 5 bubbles,Perfect service,"Thanks to frontdesk staff(Lylia..? I’m sorry forgot the name RNM #1653)who helped our checkin, also karl another concierge who helped to get a taxi to mactan!It was tooo hard to get a taxi due to rush hour but two concierge steff never forgive to get a taxi for us! What a perfect serviceI’ll come back",December 2023,NA
Jonah John R,Nov 2023,5.0 of 5 bubbles,Hassle free event at Quest. Perfect,Our 2 major events were held at quest and it went so perfectly and hassle free. The staff are very attentive to our needs and very accommodating. It exceeded my expectations. Even if we met only once prior to the event to finalize everything. Amazing staff,November 2023,NA
Trip52521999625,Nov 2023,5.0 of 5 bubbles,3 star hotel with 5 star service,"A three star hotel with five star service. Room is very clean and everyone is very polite and courteous. Requests are being acted upon efficiently. Kudos to my room attendant Carmela, airport pick up was great, the front desk clerk and bell service.",November 2023,NA
Brian James T,Nov 2023,4.0 of 5 bubbles,Birthday Stay!,"Great service and value in Cebu...had a special 14th birthday stay with my son BriBri--the staff were amazing! Personalized service, great location, clean well-furnished rooms at great value at Cebu central!",March 2023,NA
Prince L,Nov 2023,4.0 of 5 bubbles,Accommodating!,They gave us (1) the room we requested (2) an extra mattress without charge (3) late check out without extra charge! The staff are very helpful. They serve with a positive attitude. Some go out of their way to grant our request.,November 2023,NA
John C,Nov 2023,5.0 of 5 bubbles,"Great location, comfortable beds, and helpful staff","Check in was a breeze, the room was clean and well appointed, and having a water station in the hallway is a neat plus. The mall and plenty of restaurants just a short walk away. Overall a great value!",November 2023,NA
Gabriela F,Nov 2023,5.0 of 5 bubbles,Great place to stay in Cebu,"The room is clean and staff are very attentive. I stay at a standard room with a view of metro cebu. Location is great, just across ayala center cebu and other establishment. Breakfast is great they serve bacon and danggit.",November 2023,NA
blanche p,Nov 2023,5.0 of 5 bubbles,Impressing hotel staff and accommodation. Pool is child friendly . Satisfied of my stay here at Quest.,Relaxing rooms with city view. The buffet is perfect and can satisfy your cravings. Staff can communicate well with english language. The parking is okay. Front office staff assisted us in our room. They are one call away. Love the complimentary drinks.,September 2023,NA
Scenic42957,Nov 2023,4.0 of 5 bubbles,We are so much satisfied!,"Hi! Thank you very much for your good service. We stayed here for almost 3 weeks and it was really good  and very accessible to Ayala Mall. The Breakfast was delicious and the amazing staffs really very friendly and accommodating. The good thing is that i can bring my family here for breakfast and paid them each. And special mention to John, he  was always there checking on us if  our foods is okay and etc. We will stay here again when we will coming back  for vacation. Greeting from Germany, Vivian  Peter.",September 2023,NA
Jonah John R,Nov 2023,5.0 of 5 bubbles,Hassle free event at Quest. Perfect,Our 2 major events were held at quest and it went so perfectly and hassle free. The staff are very attentive to our needs and very accommodating. It exceeded my expectations. Even if we met only once prior to the event to finalize everything. Amazing staff,November 2023,NA
Trip52521999625,Nov 2023,5.0 of 5 bubbles,3 star hotel with 5 star service,"A three star hotel with five star service. Room is very clean and everyone is very polite and courteous. Requests are being acted upon efficiently. Kudos to my room attendant Carmela, airport pick up was great, the front desk clerk and bell service.",November 2023,NA
Brian James T,Nov 2023,4.0 of 5 bubbles,Birthday Stay!,"Great service and value in Cebu...had a special 14th birthday stay with my son BriBri--the staff were amazing! Personalized service, great location, clean well-furnished rooms at great value at Cebu central!",March 2023,NA
Prince L,Nov 2023,4.0 of 5 bubbles,Accommodating!,They gave us (1) the room we requested (2) an extra mattress without charge (3) late check out without extra charge! The staff are very helpful. They serve with a positive attitude. Some go out of their way to grant our request.,November 2023,NA
John C,Nov 2023,5.0 of 5 bubbles,"Great location, comfortable beds, and helpful staff","Check in was a breeze, the room was clean and well appointed, and having a water station in the hallway is a neat plus. The mall and plenty of restaurants just a short walk away. Overall a great value!",November 2023,NA
Gabriela F,Nov 2023,5.0 of 5 bubbles,Great place to stay in Cebu,"The room is clean and staff are very attentive. I stay at a standard room with a view of metro cebu. Location is great, just across ayala center cebu and other establishment. Breakfast is great they serve bacon and danggit.",November 2023,NA
blanche p,Nov 2023,5.0 of 5 bubbles,Impressing hotel staff and accommodation. Pool is child friendly . Satisfied of my stay here at Quest.,Relaxing rooms with city view. The buffet is perfect and can satisfy your cravings. Staff can communicate well with english language. The parking is okay. Front office staff assisted us in our room. They are one call away. Love the complimentary drinks.,September 2023,NA
Scenic42957,Nov 2023,4.0 of 5 bubbles,We are so much satisfied!,"Hi! Thank you very much for your good service. We stayed here for almost 3 weeks and it was really good  and very accessible to Ayala Mall. The Breakfast was delicious and the amazing staffs really very friendly and accommodating. The good thing is that i can bring my family here for breakfast and paid them each. And special mention to John, he  was always there checking on us if  our foods is okay and etc. We will stay here again when we will coming back  for vacation. Greeting from Germany, Vivian  Peter.",September 2023,NA
Jonah John R,Nov 2023,5.0 of 5 bubbles,Hassle free event at Quest. Perfect,Our 2 major events were held at quest and it went so perfectly and hassle free. The staff are very attentive to our needs and very accommodating. It exceeded my expectations. Even if we met only once prior to the event to finalize everything. Amazing staff,November 2023,NA
Trip52521999625,Nov 2023,5.0 of 5 bubbles,3 star hotel with 5 star service,"A three star hotel with five star service. Room is very clean and everyone is very polite and courteous. Requests are being acted upon efficiently. Kudos to my room attendant Carmela, airport pick up was great, the front desk clerk and bell service.",November 2023,NA
Brian James T,Nov 2023,4.0 of 5 bubbles,Birthday Stay!,"Great service and value in Cebu...had a special 14th birthday stay with my son BriBri--the staff were amazing! Personalized service, great location, clean well-furnished rooms at great value at Cebu central!",March 2023,NA
Prince L,Nov 2023,4.0 of 5 bubbles,Accommodating!,They gave us (1) the room we requested (2) an extra mattress without charge (3) late check out without extra charge! The staff are very helpful. They serve with a positive attitude. Some go out of their way to grant our request.,November 2023,NA
John C,Nov 2023,5.0 of 5 bubbles,"Great location, comfortable beds, and helpful staff","Check in was a breeze, the room was clean and well appointed, and having a water station in the hallway is a neat plus. The mall and plenty of restaurants just a short walk away. Overall a great value!",November 2023,NA
Gabriela F,Nov 2023,5.0 of 5 bubbles,Great place to stay in Cebu,"The room is clean and staff are very attentive. I stay at a standard room with a view of metro cebu. Location is great, just across ayala center cebu and other establishment. Breakfast is great they serve bacon and danggit.",November 2023,NA
blanche p,Nov 2023,5.0 of 5 bubbles,Impressing hotel staff and accommodation. Pool is child friendly . Satisfied of my stay here at Quest.,Relaxing rooms with city view. The buffet is perfect and can satisfy your cravings. Staff can communicate well with english language. The parking is okay. Front office staff assisted us in our room. They are one call away. Love the complimentary drinks.,September 2023,NA
Scenic42957,Nov 2023,4.0 of 5 bubbles,We are so much satisfied!,"Hi! Thank you very much for your good service. We stayed here for almost 3 weeks and it was really good  and very accessible to Ayala Mall. The Breakfast was delicious and the amazing staffs really very friendly and accommodating. The good thing is that i can bring my family here for breakfast and paid them each. And special mention to John, he  was always there checking on us if  our foods is okay and etc. We will stay here again when we will coming back  for vacation. Greeting from Germany, Vivian  Peter.",September 2023,NA
Waynne,Sep 2023,5.0 of 5 bubbles,Quest never fails us! Amazing stay,"This is by far my favorite hotel in Cebu owing to the outstanding service that we constantly receive from the employees, not to mention the convenient and secure location. Thank you, Shao, for being pleasant and for explaining how to get to different destinations. You guys are very professional.",August 2023,NA
Starks,Sep 2023,5.0 of 5 bubbles,Superb!,"I admire how they handled the guests from the time they arrived at the hotel till after they left. We feel terrific; we had everything we needed, and the staff is quite friendly. They are kind and welcoming, specially to the ones at the Front Desk. They seem to be experts at what they do!",September 2023,NA
Mae ann M,Sep 2023,5.0 of 5 bubbles,5-star service in budget friendly hotel,"Excellent service from the day i arrived to check out, Concierge went extra mile to help with my 1-luggage lost from airport i went no clothes to use on, then Vic from Concierge called the representative from hotel to follow then my luggage arrived on time. Room was spacious. Loved the ube pandesal from restaurant. And front desk gave me late check out which I totally happy. Thanks Quest will definitely comeback soon 😍",August 2023,NA
Fearless55740108780,Sep 2023,5.0 of 5 bubbles,Great Hotel Experience,"Great hotel experience. The staff was very friendly and helpful. I have stayed at this hotel six times and the beds are Very comfortable. The location of this hotel is near Ayala Mall a great mall. And last, the breakfast is the best in the area!",September 2023,NA
Cz G,Sep 2023,5.0 of 5 bubbles,Incredible Experience,I would love to stay here again. The food is nice and the staffs are friendly. They always assist us in going in and out from the hotel. I love their smiles. I love the view and the food are superb .,September 2023,NA
Airramaezing,Sep 2023,5.0 of 5 bubbles,"Special thanks to Adrian for his great service during our event at Armstrong Function, also Johnloyd and Dave.♥️","Thanks to Adrian for his great service at the banquet. Also to johnloyd and dave. Adrian is very polite and attentive, love his smile its very warmth and welcoming. We enjoyed our stay here in Quest, a bit upset during our arrival since we were not able to get inside the room by 3pm and the standard check in time is at 2pm. Overall, we love the food and the ambiance of the hotel. Hope to be back here soon!",September 2023,NA
Marielle Mangundayao,Sep 2023,5.0 of 5 bubbles,Amazing Service!,"Services are amazing! Our banquet food was delicious. We were well taken cared of by Adrian, Janlloyd. They are very accommodating and always caters to our needs. Will definitely book here again. 😄😄",September 2023,NA
KM M,Sep 2023,5.0 of 5 bubbles,You need to upgrade!,"This is my second stay at this hotel, and there have been some changes since my last visit in 2019. Firstly, the absence of water bottles should have been communicated to us before our stay so we could have brought our own. Secondly, there was a strong unpleasant odor from the carpet as soon as you left the elevator on the 16th floor. Thirdly, I encountered small roaches in my bedroom week beginning September 28, and on my chair in the buffet area on September 9. Fourthly, there seems to be a miscommunication issue between the front desk and the department responsible for in-room calls. I requested that my room be cleaned during my absence at night for work, but they continued to call, disrupting my sleep. The only person who consistently provided excellent service was Kuya Eric at the breakfast buffet. He has a unique way of making customers feel special and delighted to be served by him.",September 2023,NA
Michael h,Sep 2023,5.0 of 5 bubbles,Solo trip to the philippines.,Cannot say enough about the staff and the service. Was having trouble setting up devices such as echo dot and screen-casting they immediately send someone from IT who within 20 minutes solved every issue. On day 2 toilet started having a low flow they immediately took care of it within minutes. The restaurant is top notch and the poolside bar is on par with top tier service. Every employee went above and beyond for every need from getting a taxi to recommending what the fare should be. Going as far as suggesting other restaurants and local attractions. Every employee was courteous and professional Just cannot say enough I will definitely be back looking forward to my next visit.Definitely 5 stars.,September 2023,NA
Waynne,Sep 2023,5.0 of 5 bubbles,Quest never fails us! Amazing stay,"This is by far my favorite hotel in Cebu owing to the outstanding service that we constantly receive from the employees, not to mention the convenient and secure location. Thank you, Shao, for being pleasant and for explaining how to get to different destinations. You guys are very professional.",August 2023,NA
Starks,Sep 2023,5.0 of 5 bubbles,Superb!,"I admire how they handled the guests from the time they arrived at the hotel till after they left. We feel terrific; we had everything we needed, and the staff is quite friendly. They are kind and welcoming, specially to the ones at the Front Desk. They seem to be experts at what they do!",September 2023,NA
Mae ann M,Sep 2023,5.0 of 5 bubbles,5-star service in budget friendly hotel,"Excellent service from the day i arrived to check out, Concierge went extra mile to help with my 1-luggage lost from airport i went no clothes to use on, then Vic from Concierge called the representative from hotel to follow then my luggage arrived on time. Room was spacious. Loved the ube pandesal from restaurant. And front desk gave me late check out which I totally happy. Thanks Quest will definitely comeback soon 😍",August 2023,NA
Fearless55740108780,Sep 2023,5.0 of 5 bubbles,Great Hotel Experience,"Great hotel experience. The staff was very friendly and helpful. I have stayed at this hotel six times and the beds are Very comfortable. The location of this hotel is near Ayala Mall a great mall. And last, the breakfast is the best in the area!",September 2023,NA
Cz G,Sep 2023,5.0 of 5 bubbles,Incredible Experience,I would love to stay here again. The food is nice and the staffs are friendly. They always assist us in going in and out from the hotel. I love their smiles. I love the view and the food are superb .,September 2023,NA
Airramaezing,Sep 2023,5.0 of 5 bubbles,"Special thanks to Adrian for his great service during our event at Armstrong Function, also Johnloyd and Dave.♥️","Thanks to Adrian for his great service at the banquet. Also to johnloyd and dave. Adrian is very polite and attentive, love his smile its very warmth and welcoming. We enjoyed our stay here in Quest, a bit upset during our arrival since we were not able to get inside the room by 3pm and the standard check in time is at 2pm. Overall, we love the food and the ambiance of the hotel. Hope to be back here soon!",September 2023,NA
Marielle Mangundayao,Sep 2023,5.0 of 5 bubbles,Amazing Service!,"Services are amazing! Our banquet food was delicious. We were well taken cared of by Adrian, Janlloyd. They are very accommodating and always caters to our needs. Will definitely book here again. 😄😄",September 2023,NA
KM M,Sep 2023,5.0 of 5 bubbles,You need to upgrade!,"This is my second stay at this hotel, and there have been some changes since my last visit in 2019. Firstly, the absence of water bottles should have been communicated to us before our stay so we could have brought our own. Secondly, there was a strong unpleasant odor from the carpet as soon as you left the elevator on the 16th floor. Thirdly, I encountered small roaches in my bedroom week beginning September 28, and on my chair in the buffet area on September 9. Fourthly, there seems to be a miscommunication issue between the front desk and the department responsible for in-room calls. I requested that my room be cleaned during my absence at night for work, but they continued to call, disrupting my sleep. The only person who consistently provided excellent service was Kuya Eric at the breakfast buffet. He has a unique way of making customers feel special and delighted to be served by him.",September 2023,NA
Michael h,Sep 2023,5.0 of 5 bubbles,Solo trip to the philippines.,Cannot say enough about the staff and the service. Was having trouble setting up devices such as echo dot and screen-casting they immediately send someone from IT who within 20 minutes solved every issue. On day 2 toilet started having a low flow they immediately took care of it within minutes. The restaurant is top notch and the poolside bar is on par with top tier service. Every employee went above and beyond for every need from getting a taxi to recommending what the fare should be. Going as far as suggesting other restaurants and local attractions. Every employee was courteous and professional Just cannot say enough I will definitely be back looking forward to my next visit.Definitely 5 stars.,September 2023,NA
Waynne,Sep 2023,5.0 of 5 bubbles,Quest never fails us! Amazing stay,"This is by far my favorite hotel in Cebu owing to the outstanding service that we constantly receive from the employees, not to mention the convenient and secure location. Thank you, Shao, for being pleasant and for explaining how to get to different destinations. You guys are very professional.",August 2023,NA
Starks,Sep 2023,5.0 of 5 bubbles,Superb!,"I admire how they handled the guests from the time they arrived at the hotel till after they left. We feel terrific; we had everything we needed, and the staff is quite friendly. They are kind and welcoming, specially to the ones at the Front Desk. They seem to be experts at what they do!",September 2023,NA
Mae ann M,Sep 2023,5.0 of 5 bubbles,5-star service in budget friendly hotel,"Excellent service from the day i arrived to check out, Concierge went extra mile to help with my 1-luggage lost from airport i went no clothes to use on, then Vic from Concierge called the representative from hotel to follow then my luggage arrived on time. Room was spacious. Loved the ube pandesal from restaurant. And front desk gave me late check out which I totally happy. Thanks Quest will definitely comeback soon 😍",August 2023,NA
Fearless55740108780,Sep 2023,5.0 of 5 bubbles,Great Hotel Experience,"Great hotel experience. The staff was very friendly and helpful. I have stayed at this hotel six times and the beds are Very comfortable. The location of this hotel is near Ayala Mall a great mall. And last, the breakfast is the best in the area!",September 2023,NA
Cz G,Sep 2023,5.0 of 5 bubbles,Incredible Experience,I would love to stay here again. The food is nice and the staffs are friendly. They always assist us in going in and out from the hotel. I love their smiles. I love the view and the food are superb .,September 2023,NA
Airramaezing,Sep 2023,5.0 of 5 bubbles,"Special thanks to Adrian for his great service during our event at Armstrong Function, also Johnloyd and Dave.♥️","Thanks to Adrian for his great service at the banquet. Also to johnloyd and dave. Adrian is very polite and attentive, love his smile its very warmth and welcoming. We enjoyed our stay here in Quest, a bit upset during our arrival since we were not able to get inside the room by 3pm and the standard check in time is at 2pm. Overall, we love the food and the ambiance of the hotel. Hope to be back here soon!",September 2023,NA
Marielle Mangundayao,Sep 2023,5.0 of 5 bubbles,Amazing Service!,"Services are amazing! Our banquet food was delicious. We were well taken cared of by Adrian, Janlloyd. They are very accommodating and always caters to our needs. Will definitely book here again. 😄😄",September 2023,NA
KM M,Sep 2023,5.0 of 5 bubbles,You need to upgrade!,"This is my second stay at this hotel, and there have been some changes since my last visit in 2019. Firstly, the absence of water bottles should have been communicated to us before our stay so we could have brought our own. Secondly, there was a strong unpleasant odor from the carpet as soon as you left the elevator on the 16th floor. Thirdly, I encountered small roaches in my bedroom week beginning September 28, and on my chair in the buffet area on September 9. Fourthly, there seems to be a miscommunication issue between the front desk and the department responsible for in-room calls. I requested that my room be cleaned during my absence at night for work, but they continued to call, disrupting my sleep. The only person who consistently provided excellent service was Kuya Eric at the breakfast buffet. He has a unique way of making customers feel special and delighted to be served by him.",September 2023,NA
Michael h,Sep 2023,5.0 of 5 bubbles,Solo trip to the philippines.,Cannot say enough about the staff and the service. Was having trouble setting up devices such as echo dot and screen-casting they immediately send someone from IT who within 20 minutes solved every issue. On day 2 toilet started having a low flow they immediately took care of it within minutes. The restaurant is top notch and the poolside bar is on par with top tier service. Every employee went above and beyond for every need from getting a taxi to recommending what the fare should be. Going as far as suggesting other restaurants and local attractions. Every employee was courteous and professional Just cannot say enough I will definitely be back looking forward to my next visit.Definitely 5 stars.,September 2023,NA
