Review Score,Review Content,normalized_score
10.0,"100% recommended
 
 ",1.0
10.0,"Great value and super service. We will definitely stay again
 
 ",1.0
10.0,"Good service
 
 ",1.0
8.8,"staff, common areas, rooms, everything is just perfect. depending in what you are planning to do in cebu, it's a bit in the middle of nowhere and a taxi is always required if you dont want to use all the services alreaduly available at the hotel. overall its a 10 out of 10
 
 ",0.8500000000000001
10.0,"They always have a solution to every situation! People are very welcoming and helpful. Will be back for sure!
 
 ",1.0
10.0,"The Bai hotel is a great place to dine and stay. It's my go place after a ruff week at work. 
Rooms r perfectly set up. Exceptional clean. Food all over the property is great. And the service is on point. 
 
 ",1.0
10.0,"SO NICE AND VERY RECOMENDABLE! 
 
 ",1.0
10.0,"Staffs were helpful and accommodating.
 
 ",1.0
10.0,"Great
 
 ",1.0
9.6,"Great service from staff and clean hotel
 
 ",0.95
10.0,"Bai hotel is the best for its cleanliness and comfort.Also, their customer service is topnotch.They always make sure that they will give you the best service and staffs are lit.Keep it up guys and definitely will come back.
 
 ",1.0
10.0,"I booked a day before the check in date but it was confirmed right then and there at a reasonable price. 
 
 ",1.0
10.0,"Fantastic place! 
 
 ",1.0
10.0,"Great view of Cebu City. Good food. Elegant rooms.
 
 ",1.0
10.0,"Best hotel in Cebu 
Real value for money 
Food price and quality outstanding 
 
 ",1.0
9.2,"Bai is good. Clean and accessible, very near a mall.  Breakfast was good also
 
 ",0.8999999999999999
9.6,"This is one of the best hotels I've stayed and I am so grateful with the service and amenities bai Hotel has provided to my family. They really enjoyed. 
 
 ",0.95
10.0,"The staffs are very friendly and accommodating. Love to stay here
 
 ",1.0
4.8,"For a hotel its size, they don’t provide face towel, hand towel, or even ice. They charge you 50 bucks for a bucket of ice.
Bed is hard. Walls are thin. You can hear conversations next door. 
 
 ",0.35
10.0,"Room is very spacious
 
 ",1.0
10.0,"Git a great price on Agoda for a5 star hotel.  Great location,  fantastic staff.  Rooms were 5 star and very nice breakfast included.  
 
 ",1.0
9.2,"Super hotel, great breakfast!!
 
 ",0.8999999999999999
10.0,"Impressive service from the staff.  Amenities were top notch and hotel is  kept really clean. Food was great, and the roof top pool and bar was perfect. 
 
 ",1.0
10.0,"All the staff are friendly and courteous. 
 
 ",1.0
9.2,"Nice
 
 ",0.8999999999999999
10.0,"My family loves this place… food,staff and facilities were great👍👍👍
 
 ",1.0
10.0,"Well centralized located, close to Mactan Island beach, easy to get to Ayala, SM-Cebu Mall, walking distance to Park Mall and the hotel staff are friendly, helpful and the room has best air-condition it's real cold even if you turn off the Aircon.
 
 ",1.0
8.0,"The room was very clean but smelled like the odor wafting from bathroom drains. Couldn't be bothered to change room though bec I was too tired.
 
 ",0.75
10.0,"Excellent
 
 ",1.0
10.0,"The staff was really nice and helpful becuase agoda made a mistake in booking the room.
 
 ",1.0
8.4,"Good moderate priced hotel with great roof to pool and bars.
Live music from 8:00 pm but seating is very uncomfortable so we did not stay long to enjoy.
Buffet dinner and  breakfast were a little disappointing with many items served cold.
Staff were extremely friendly and efficient.
 
 ",0.8
10.0,"Nice place, accommodating staff, clean and comfortable place to stay 
 
 ",1.0
10.0,"We had a great stay!! Staff are friendly. Ms Jewel at the front desk is accomodating. Foods are very delicious. I will Definitely return and book here on our next visit!!! The room is very spacious😊
 
 ",1.0
9.6,"Nice Skypool and bar 
 
 ",0.95
8.8,"Everything is good. The only thing that I don't like is the pillow. Too soft and low. Didn't quite get a good sleep
 
 ",0.8500000000000001
8.8,"Perfect for money if you get lucky on agoda
 
 ",0.8500000000000001
10.0,"I always feel at home here. Thank you Bai
 
 ",1.0
10.0,"The hotel is clean and smells good.. Near to malls and easy access..
 
 ",1.0
10.0,"everyone is friendly and the place is awesome
 
 ",1.0
10.0,"Great plsce to stay in Cebu!!!
 
 ",1.0
9.6,"Clean and good breakfast 
 
 ",0.95
6.4,"Great room.  Staff at the checkin counter needs improvement.  Staff at the 21st floor restaurant is amazing.  Bring your own water though.  They don't provide much.  
 
 ",0.55
10.0,"Great amenities and exceptional service! 
 
 ",1.0
10.0,"We enjoyed our stay in this hotel. From accommodating staff, delicious foods, and great ambiance we surely did relax and had a great bonding with my little family. We will book this hotel soon. 💖
 
 ",1.0
10.0,"The aircondition was very cold which I liked.
 
 ",1.0
10.0,"Relaxing to stay at the hotel
 
 ",1.0
7.6,"Transaction went smoothly and hotel’s contact number is easily reached.
 
 ",0.7
8.4,"none
 
 ",0.8
8.0,"The food in the breakfast buffet is not that great. It looks good but the quality is ok
 
 ",0.75
10.0,"Highly recomended
 
 ",1.0
10.0,"Was a very friendly atmosphere , was super clean , Food was great in choices and tastes.
Great price as well.
 
 ",1.0
10.0,"I was so happy to have spend a night with my son on his graduation as a graduation gift. Since his graduation ceremony was also held in BAI hotel. So happy.
 
 ",1.0
8.0,"The hotel is clean and has nice facilities. Location is around 30 minutes from city center though. 
 
 ",0.75
10.0,"We booked rooms for my brother’s wedding and we had a great stay. My so enjoyed the pool and even promised his new friends he met at the pool that he’ll be back on jul 2nd. Lol. The rooms are clean. The staff is super accommodating. I love how accessible it is especially if there’s a need for supplies, we can just run to Parkmall right across. 
 
 ",1.0
8.8,"Great staff, beautiful modern rooms with good facilities. Breakfast is a huge boon as there is a huge choice of cuisine on offer. Highly recommend the bai hotel. I have there on numerous occasions and have never been dissapointment. 
 
 ",0.8500000000000001
8.4,"Rooms are spotless,  staff are very attentive. The breakfast is on a huge scale, so ensure your appetite is ready for a some gastronormous delights.
 
 ",0.8
10.0,"I enjoyed my stay at Bai hotel and I added 2 more days to stay longer. Breakfast is good especially the pandesal, dried squid and the 
taho guy walking around carrying the taho container. Sooo cool! The swimming pool is good, lobby is clean and money changer is downstairs. There’s coffee shop outside and park mall is across the street. Very convenient. Thank you Bai hotel! 
 
 ",1.0
8.4,"Everytime I go in, I get scanned. Imagine to be going through that body scanner and luggage or baggage scanner everytime.

The staff are friendly, in some sense.
 
 ",0.8
2.0,"I was so disappointed with this hotel that was so overrated reviews! I had a high expectations when I booked this hotel! I had 3 rooms and I was so disappointed that my room was very dirty, bathrooms had a mold, HVAC had a lots of bugs and dust! Bed sheets found stained and hair! They moved me into different room after 19 hours of flight the second move was even worse of mold smell! I was so disappointed of staying this hotel! Management didn’t care about the issues and this hotel was not well maintained! The hallway of the 12th floor was super hot no AC! Disappointed like I left headache with mold smell on my room! Never again! 
 
 ",0.0
8.0,"everytime that I go to Cebu I always stay in Bai Hotel, rooms are clean though needs updating, staff are really friendly, huge buffet 
 
 ",0.75
10.0,"From accommodation to buffet, it was a good choice to stay in Bai Hotel.
 
 ",1.0
9.6,"Spent half a week in this hotel with family. Staff are so nice and welcoming. They prioritize security. Upon arriving, they screen you similar to upon entering the airport. Breakfast buffet was great! Family enjoyed the variety of foods available daily. They provide water bottles and necessities during your stay such as shampoo, conditioner, soap, dental kit, slippers as examples. They have a fitness room - ample amount of equipment and it was not crowded. They have kid playroom for those travelling with small kids. Bed was comfortable. Pool bar and pool area was spacious. Would recommend in having some little things looked into such as stains in carpetted floors, chipped areas in doorways in hotels. Other than that, great place to stay! I would definitely consider this as one of the go to hotels if returning to Cebu. 
 
 ",0.95
8.4,"Nice place, good value and security.  Excellent buffet too!
 
 ",0.8
10.0,"Staffs are very accommodating. The place is amazing, walking distance from malls and convenience store. 
 
 ",1.0
10.0,"The place is very clean and elegant, with nice view (our room is facing the bay). The food is delicious. Make sure to book with breakfast to experience their delicious buffet. If no meal booking, no worries, their breakfast meal is less that 500 pesos per person as of this writing and you can have a full stomach satisfaction. The shower room is complete with shower gel, shampoo and conditioner, hand soap as well as a body lotion. I like the scent of the lotion and it's a nice quality, it gives skin moisture. The aircondition is working very well.  The bed and pillows are nice and comfortable. We really had a good night sleep. 
 
 ",1.0
8.8,"food is very good and the staff are friendly
 
 ",0.8500000000000001
4.8,"My room's hot water was not working. We requested for checking on. Engineer checked it can not be rectified. And we waited for more than 1 hr waiting hotel's procedure to change room. They always said they will call us back. But no call we received. After 1 hr , we went down and get a new room. New room's hair dryer was spoiled and it caused burnt smell all around our room. We were alr super exhausted to even tell them to change. There is no upgrade, no compensation for wasting our time. It was very bad experience. Hope it can be better next time. But the lady when we were checking in, she was very kind and helpful. 
 
 ",0.35
10.0,"Worth it
 
 ",1.0
10.0,"Great,  worthy 
 
 ",1.0
10.0,"Thank you! Till our next visit, Bai.
 
 ",1.0
10.0,"The room was spacious, nice and clean. Nice location near a mall and food places. Had a nice pool and sitting areas. We included the buffet price in our initial hotel booking and it was great. 
 
 ",1.0
10.0,"Great stay we enjoyed our vacation stay
 
 ",1.0
10.0,"We enjoyed our minimoon despite only hours of enjoying the room. Thank you Bai Hotel for surprising us with a delicious treat! You’re so sweet! Thank you so much! We’ll surely be back! 
 
 ",1.0
10.0,"M
 
 ",1.0
7.2,"The cleaning staff were talking loud on the hallway the whole morning, and even rang at our door at 10am to ask if we needed cleaning. I felt like that was very unnecessary and after being woken up by their radios and voices outside really irked me since we were trying to catch up on our sleep.  

They are listed as 4 stars, but it actually feels like a 3 star hotel, so if you can get a good price for the stay, this would be a good place, but do not expect a 4 star hotel.

The check out was really slow, they asked us to wait on the couch for someone to check our room before we can leave. We waited a good 15 mins, and went back to the reception to ask if we could leave already, and she said yes. We wasted so much time thinking that she would approach us and let us know that we’re good to go, but apparently not.
 
 ",0.65
9.2,"We always come back to this hotel. It may be a bit far from the restaurants in malls but it’s halfway to airport so it’s good 
 
 ",0.8999999999999999
6.4,"Stayed a yr ago nice rm bath  towels etc. came a yr later 5/29/24 .no hand towels or wash cloths, very little toilet paper , no adapter for the hot water maker, towels dingy water and old. Beds are quite hard.  Two adults one child. Had to pay 600 peso for son’s breakfast. Requested more water and towels etc. disappointed with stay will not stay here again . No microwave, 2 coffee sticks that’s it.
 
 ",0.55
9.2,"I highly recommend this place,great place to stay.
 
 ",0.8999999999999999
10.0,"had a wonderful stay in this hotel!
 
 ",1.0
10.0,"Second time staying in this hotel & have never been disappointed!
 
 ",1.0
9.6,"Really enjoy this vacation 
 
 ",0.95
10.0,"Amazing Experience! 💯
 
 ",1.0
10.0,"The facilities provided were outstanding, catering to all our needs. Overall it was a fantastic experience.
 
 ",1.0
10.0,"Had a fun and relaxing stay in Bai. Staffs are very nice, foods are good, and amenities are enjoyable.
 
 ",1.0
9.6,"Very accomodating staff. Clean and decent place. 
 
 ",0.95
8.8,"The room was big enough for the 3 of us. Everything we needed was there even shaving set. Staffs were pleasant and always greets us when we encounter them. It’s a 10/10 experience. 
 
 ",0.8500000000000001
10.0,"One of my favorite hotel to boom in cebu.
 
 ",1.0
9.6,"Me and Fiance spent a couple of nights there, it is a beautiful hotel. The pool on the roof is nice and offers a good view, could need some cleaning because of chlorine. The staff is super friendly and really helpful. The food is awesome with the hotel having different restaurants and buffet along with room service. The room is nice, big comfortable shower for a couple, room enough for bot of us and big comfortable bed. Overall a really good stay and would like to visit again
 
 ",0.95
10.0,"I chose bai Hotel because it was walking distance from the Hall of Justice of Mandaue. It was also very near Parkmall. Breakfast buffet was great and dinner at the rooftop was sumptuous and had the best view of the city. I will definitely come back.
 
 ",1.0
10.0,"Great hotel! 
 
 ",1.0
10.0,"Great hotel!
 
 ",1.0
6.4,"I had with me my mom who is a PWD. We went to the breakfast buffet only to be told there were no more seats available. We went around 7am. Anyway, we looked around and there were actually a lot of long tables that were vacant but with the reserved sign. There should be no such thing in a buffet breakfast that's included in everyone's accommodation fee. They let us sit in a very small table for two. There was four of us with three people old and one being a PWD. I was annoyed and mad. I requested again for another table to be open as I can see there are vacant ones. In the end they gave us one of the long tables. You have to really show them your bad side before they give you a good service and start tiptoeing. Disappointed. 
 
 ",0.55
10.0,"Very clean and nice hotel
 
 ",1.0
10.0,"The hotel's commitment to exceptional customer service shines through in every aspect of the guest experience. Throughout my stay, the staff consistently exhibited warmth, professionalism, and a genuine desire to accommodate my needs. Whether it was a friendly greeting at check-in, or prompt assistance with requests, their dedication to guest satisfaction was evident at every turn.
 
 ",1.0
10.0,"i think you just need to improve the food in 23rd floor price does not fit its taste but overall its really great
 
 ",1.0
8.0,"We got a free upgrade because we wanted an early check-in but the room is not available.
 
 ",0.75
8.4,"Great 
 
 ",0.8
8.0,"RECOMMENDABLE.
STAFF ARE RESPECTFUL AND FRIENDLY
 
 ",0.75
10.0,"Had a good stay. No major issues. Pretty nice hotel. 
 
 ",1.0
10.0,"Loved the pool area and the IPA / golden ale beers were great. My new favourite place to stay when I am passing through Cebu. Perfect place to relax and reasonably priced. Close to the mall too. Staff were really friendly and welcoming.
 
 ",1.0
6.4,"Overall the experience is good.
 
 ",0.55
10.0,"The food is great. The room is clean and the people  are amazing!
 
 ",1.0
10.0,"This trip was quick only ten days , once again on checkin my 10 day plan changed .intial stay at the Bai was 2 days then travel but I decided to stay the whole trip .
All staff remembered me from a January trip kudos to them for a 600 room hotel.
The staff here are still super graceful and fulfil there duties professionally with the perception that they are happy u came back .happy to see some staff being promoted and duty managers  ma’am Mariciel food / beverage and Eillen Isral are on the job .this trip I must give a speak mention to Christine roof top bar senior cashier she is so welcoming and goes above and beyond .
Liezal the house keeping for foyer , outdoor areas , external toilets and keeps the facilities super clean .Ruditha  housekeeping 20 th floor  leaves the room impeccable. 
Come to the Bai for its comfort facilities, staff and price . 
Special mention once again to Mary Tagalog whom checks me in on 2 occasions and makes it a pleasure
 
 ",1.0
10.0,"Staying at BAI to celebrate wedding anniversary
 
 ",1.0
10.0,"Im very satisfied with my stay. The room as very clean and the bed comfy
 I enjoyed so much my night swim at the heated pool.

I'm very impressed with the breakfast  buffet. I enjoyed it  more than any other hotel buffet.

The  hotel staff
 
 ",1.0
10.0,"Highly recommended
 
 ",1.0
9.2,"Hotel is nice and clean.. have outstanding staff😃... The marble and grain steak restaurant was an expensive disappointment.. the staff was great tho... When I come back to Cebu I will most assuredly stay here. The pool area is great and so are the views. 
 
 ",0.8999999999999999
10.0,"Good and accommodating 
 
 ",1.0
10.0,"Really an excellent Hotel to stay for 2-3days , super helpful and friendly Staff 👍
 
 ",1.0
10.0,"Excellent customer service from everyone, facility, value for money and location
 
 ",1.0
8.8,"Very Good
 
 ",0.8500000000000001
10.0,"facilities are top notch, room super clean, wifi connection very good, food was so yummy. free access to gym and swimmer pool
 
 ",1.0
10.0,"Had a wonderful stay in this hotel. Breakfast buffet was good and filling. Staff were very friendly. Rooms were clean and comfortable. Highly recommended.
 
 ",1.0
9.6,"Our stay with my sisters and nephews is really nice. The rooms are well maintained, complete toiletries and other kits for personal grooming and stuff.  All the staff we met are properly trained, they are all friendly and accommodating-especially the staff that accommodated us  in their bar (forgot his name though). Very nice stay overall
 
 ",0.95
9.6,"my 6th times here and as as usual always happy and satisfied 
 
 ",0.95
10.0,"the place is worth your money 👌
 
 ",1.0
10.0,"Booked 3 rooms for my sisters in law w/ their husbands and they gave this hotel a thumbs up
 
 ",1.0
10.0,"It’s the kindness and the hospitality of the staff that makes my stay a luxury. It’s amazing how respectful they are and on how they anticipate your needs. They are the heart of the company. 
 
 ",1.0
10.0,"A very good stay @ Bai 2nd time around. Staffs all so friendly & so helpful. Difinitely we will be coming back here again next holiday.
 
 ",1.0
8.8,"Comfortable for a few days stays in Cebu. Great breakfast and dinner buffet. Close to the shopping mall and the restaurants. Nice and helpful staff. 
 
 ",0.8500000000000001
9.2,"A very nice hotel with amazing staff. Our stay was short but very memorable.
 
 ",0.8999999999999999
7.6,"This once fabulous property (just a few short years ago) is falling under rapid disrepair under current management.  For some reason Philippino people are not only hard on things, but they apparently don’t believe in proper maintenance.  For example, the once-fabulous pool is now clouded by filthy windows surrounding.  The pool bar granite has been destroyed on the back side and very shoddily repaired.  There are many other examples of neglect.  Very depressing.
 
 ",0.7
10.0,"Nice location world-class amenities.
 
 ",1.0
9.6,"Our stay at Bai Hotel was exceptional. Delicious food, accommodating staff, and spotless surroundings made for a memorable experience. Highly recommended
 
 ",0.95
10.0,"Everything was perfect since the staff at from desk to rooms and restaurants. I highly recommend this hotel 
 
 ",1.0
10.0,"Nice hotel with great staff
 
 ",1.0
9.2,"Me and my wife we had 2 nights in Bai hotel going back from vacation 
I book this hotel because of the recommendation which I find out on YouTube 
Staff very very helpful and kind
Room very clean and service very friendly and helpful 
Hmmm food . Till now best place if comes to my experience with various types of food . Short term amazing and so delicious 
Employee at the food court was doing amazing job 

 
 ",0.8999999999999999
6.8,"Stayed at Bai Hotel Cebu for a conference and arranged accommodation at this hotel for my group. Check in by Venus was good, room was clean, cold and spacious (though trash bins could look and be designed better), food at Cafe Bai (for lunch and dinner) had a good variety and excellent staff. Unfortunately, check out was upsetting. A staff wearing a teal uniform as opposed to the usual Front Desk uniform allowed 2 foreign guests to cut the queue when two other guests were in front of them, myself included. Minor issue or not, a queue is a queue. Better training is necessary. 
 
 ",0.6
6.8,"Stayed at Bai Hotel Cebu for a conference and arranged accommodation at this hotel for my group. Check in by Venus was good, room was clean, cold and spacious (though trash bins could look and be designed better), food at Cafe Bai (for lunch and dinner) had a good variety and excellent staff. Unfortunately, check out was upsetting. Chloe at the Front Desk allowed 2 foreign guests to cut the queue when two other guests were in front of them, myself included. She was defensive at first but eventually apologised. Minor issue or not, a queue is a queue. Better training is necessary. 
 
 ",0.6
6.8,"Stayed at Bai Hotel Cebu for a conference. Check in by Venus was good, room was clean, cold and spacious (though trash bins could look and be designed better), food at Cafe Bai (for lunch and dinner) had a good variety and excellent staff. Bathroom floor tends to flood as the shower drain was slow and the water would overflow to the main area of the bathroom. Unfortunately, check out was upsetting. Chloe at the Front Desk allowed 2 foreign guests to cut the queue when two other guests were in front of them, myself included. She was defensive at first but eventually apologised. Minor issue or not, a queue is a queue. Better training is necessary. 
 
 ",0.6
10.0,"I’m grateful with bai hotel because they gave us an excellent experience while staying in this hotel. From entrance to exit you will feel welcomed and at ease.  All staff in this hotel will treat you fairly. Plus you can receive a cute welcome letter when you click the tv remote control. 😊 Oh wait , their buffet is what I’m always looking forward to every morning 🤣 

This is my third times staying here by the way😊
 
 ",1.0
6.0,"nice hotel, this was also booked by my colleagues
 
 ",0.5
9.6,"This is highly recommended based on faciliy, delicious food and excellent service
 
 ",0.95
10.0,"My whole family enjoyed staying here especially my daughter ! 
 
 ",1.0
10.0,"ok
 
 ",1.0
10.0,"ok
 
 ",1.0
9.2,"bai Hotel despite showing signs of age is still a good place to stay in. It's location makes it very convenient to move around because traffic is rarely congested around it. Staff attitude and service remains excellent as always. 
 
 ",0.8999999999999999
9.6,"I enjoyed my stay there. The water pressure in the shower was great and the water was hot and stayed hot. I had food delivered to my room. The pizza, and buffalo wings were very good. 
My only disappointment was that I could not get Netflix or YouTube on the TV.
The sauna in the gym was good. 
I had fun with my friends drinking at the Twilight bar that had an incredible rooftop view of Cebu. If you go to Bai hotel I'm sure you with enjoy all that it has to offer 
 
 ",0.95
10.0,"Great service and relaxing placa
 
 ",1.0
10.0,"Was a beautiful hotel, large clean room. Free wifi, hotel staff were lovely. Had a great stay and would come again.
 
 ",1.0
10.0,"Hotel, pool, and restaurants are all top notch. Pool bar food and drinks are a little pricey but not overly so and the view is worth the extra. We arrived early and our room wasn't ready yet so we changed into swimsuits and went to the pool. 
 
 ",1.0
